name,img_url,link,year,rating,views
,https://hdmovie2.fi/uploads/posts/2024-05/izobrazhenie_2024-05-05_202251393.png,https://hdmovie2.st/51714-boy-kills-world.html,Unknown,8.3,"Boy Kills World
2024"
,https://hdmovie2.fi/uploads/posts/2024-04/936622_poster_1712895719.jpg,https://hdmovie2.st/50652-bade-miyan-chote-miyan.html,Unknown,5.9,"Bade Miyan Chote Miyan
2024"
,https://hdmovie2.fi/uploads/posts/2024-04/izobrazhenie_2024-04-28_122907003.png,https://hdmovie2.st/51453-the-fall-guy.html,Unknown,7.9,"The Fall Guy
2024"
,https://hdmovie2.fi/uploads/posts/2024-04/izobrazhenie_2024-04-15_065111553.png,https://hdmovie2.st/50733-the-ministry-of-ungentlemanly-warfare.html,Unknown,7.8,"The Ministry of Ungentlemanly Warfare
2024"
,https://hdmovie2.fi/uploads/posts/2024-03/1226886_poster_1710059058.jpg,https://hdmovie2.st/48771-bhimaa.html,Unknown,5.4,"Bhimaa
2024"
,https://hdmovie2.fi/uploads/posts/2024-03/1242191_poster_1709445747.jpg,https://hdmovie2.st/48141-chaari-111.html,Unknown,4.5,"Chaari 111
2024"
,https://hdmovie2.fi/uploads/posts/2024-04/izobrazhenie_2024-04-07_133241818.png,https://hdmovie2.st/50391-monkey-man.html,Unknown,7.6,"Monkey Man
2024"
,https://hdmovie2.fi/uploads/posts/2024-03/izobrazhenie_2024-03-10_110427202.png,https://hdmovie2.st/48717-kung-fu-panda-4.html,Unknown,7.5,"Kung Fu Panda 4
2024"
,https://hdmovie2.fi/uploads/posts/2024-02/izobrazhenie_2024-02-26_204549156.png,https://hdmovie2.st/47817-dune-part-two.html,Unknown,7.8,"Dune: Part Two
2024"
,https://hdmovie2.fi/uploads/posts/2024-02/izobrazhenie_2024-02-15_195356788.png,https://hdmovie2.st/47223-madame-web.html,Unknown,7.3,"Madame Web
2024"
,https://hdmovie2.fi/uploads/posts/2024-03/1034158_poster_1709445684.jpg,https://hdmovie2.st/48132-operation-valentine.html,Unknown,7.4,"Operation Valentine
2024"
,https://hdmovie2.fi/uploads/posts/2024-03/1169534_poster_1710674275.jpg,https://hdmovie2.st/49041-bastar-the-naxal-story.html,Unknown,9.2,"Bastar: The Naxal Story
2024"
,https://hdmovie2.fi/uploads/posts/2024-02/izobrazhenie_2024-02-02_192113807.png,https://hdmovie2.st/46701-argylle.html,Unknown,5.4,"Argylle
2024"
,https://hdmovie2.fi/uploads/posts/2024-02/1150478_poster_1707550517.jpg,https://hdmovie2.st/46971-eagle.html,Unknown,6.2,"Eagle
2024"
,https://hdmovie2.fi/uploads/posts/2024-02/1233531_poster_1708761795.jpg,https://hdmovie2.st/47430-article-370.html,Unknown,7.6,"Article 370
2024"
,https://hdmovie2.fi/uploads/posts/2024-02/1215938_poster_1708761790.jpg,https://hdmovie2.st/47421-crakk-jeetega-toh-jiyegaa.html,Unknown,7.1,"Crakk: Jeetega... Toh Jiyegaa
2024"
,https://hdmovie2.fi/uploads/posts/2024-01/866398_poster_1704710083.jpg,https://hdmovie2.st/45369-the-beekeeper.html,Unknown,8.1,"The Beekeeper
2024"
,https://hdmovie2.fi/uploads/posts/2024-01/izobrazhenie_2024-01-12_212948402.png,https://hdmovie2.st/45477-hanu-man.html,Unknown,7.6,"Hanu Man
2024"
,https://hdmovie2.fi/uploads/posts/2024-01/izobrazhenie_2024-01-12_213156055.png,https://hdmovie2.st/45486-captain-miller.html,Unknown,8,"Captain Miller
2024"
,https://hdmovie2.fi/uploads/posts/2024-01/784651_poster_1706204531.jpg,https://hdmovie2.st/46044-fighter.html,Unknown,7.6,"Fighter
2024"
,https://hdmovie2.fi/uploads/posts/2023-12/izobrazhenie_2023-12-21_142638999.png,https://hdmovie2.st/44478-aquaman-and-the-lost-kingdom.html,Unknown,8.3,"Aquaman and the Lost Kingdom
2023"
,https://hdmovie2.fi/uploads/posts/2023-12/770906_poster_1703345875.jpg,https://hdmovie2.st/44496-salaar-part-1-ceasefire.html,Unknown,7.7,"Salaar: Part 1 – Ceasefire
2023"
,https://hdmovie2.fi/uploads/posts/2023-12/screenshot-2023-12-26-at-01-30-18-mjatezhnaja-luna-chast-1-ditja-ognja-2023.png,https://hdmovie2.st/44640-rebel-moon-part-one-a-child-of-fire.html,Unknown,6.3,"Rebel Moon - Part One: A Child of Fire
2023"
,https://hdmovie2.fi/uploads/posts/2023-11/izobrazhenie_2023-11-25_111948160.png,https://hdmovie2.st/43317-napoleon.html,Unknown,9,"Napoleon
2023"
,https://hdmovie2.fi/uploads/posts/2023-11/izobrazhenie_2023-11-17_151642132.png,https://hdmovie2.st/43074-the-hunger-games-the-ballad-of-songbirds-amp-snakes.html,Unknown,6.4,"The Hunger Games: The Ballad of Songbirds & Snakes
2023"
,https://hdmovie2.fi/uploads/posts/2023-11/izobrazhenie_2023-11-08_224254995.png,https://hdmovie2.st/42723-the-marvels.html,Unknown,8,"The Marvels
2023"
,https://hdmovie2.fi/uploads/posts/2023-12/781732_poster_1701495752.jpg,https://hdmovie2.st/43713-animal.html,Unknown,7.4,"Animal
2023"
,https://hdmovie2.fi/uploads/posts/2023-11/720557_poster_1699792156.jpg,https://hdmovie2.st/42795-tiger-3.html,Unknown,7.4,"Tiger 3
2023"
,https://hdmovie2.fi/uploads/posts/2023-10/893653_poster_1697961139.jpg,https://hdmovie2.st/41742-tiger-nageswara-rao.html,Unknown,7.7,"Tiger Nageswara Rao
2023"
,https://hdmovie2.fi/uploads/posts/2023-10/979669_poster_1697823922.jpg,https://hdmovie2.st/41526-bhagavanth-kesari.html,Unknown,7,"Bhagavanth Kesari
2023"
,https://hdmovie2.fi/uploads/posts/2023-11/1010805_poster_1699697012.jpg,https://hdmovie2.st/42732-japan.html,Unknown,6.7,"Japan
2023"
,https://hdmovie2.fi/uploads/posts/2022-10/84958_poster_1665963628.jpg,https://hdmovie2.st/10548-loki-2021-hindi.html,Unknown,6.7,"Loki
2021"
,https://hdmovie2.fi/uploads/posts/2023-11/1007074_poster_1699697157.jpg,https://hdmovie2.st/42741-jigarthanda-doublex.html,Unknown,6.3,"Jigarthanda DoubleX
2023"
,https://hdmovie2.fi/uploads/posts/2023-10/949229_poster_1697823722.jpg,https://hdmovie2.st/41517-leo.html,Unknown,8.2,"Leo
2023"
,https://hdmovie2.fi/uploads/posts/2023-09/872906_poster_1694147367.jpg,https://hdmovie2.st/39267-jawan.html,Unknown,7.1,"Jawan
2023"
,https://hdmovie2.fi/uploads/posts/2023-10/763118_poster_1697907003.jpg,https://hdmovie2.st/41733-ganapath.html,Unknown,7.4,"Ganapath
2023"
,https://hdmovie2.fi/uploads/posts/2023-09/299054_poster_1695148089.jpg,https://hdmovie2.st/39807-expend4bles.html,Unknown,6.3,"Expend4bles
2023"
,https://hdmovie2.fi/uploads/posts/2023-08/980489_poster_1691123872.jpg,https://hdmovie2.st/37647-gran-turismo.html,Unknown,8,"Gran Turismo
2023"
